domain,code,measure
Health & Safety,hsw_aw_nnasv,Number of accidents at work by NACE Rev. 1.1 activity and severity
Health & Safety,hsw_aw_nnasz,Number of accidents at work by NACE Rev. 1.1 activity and size of enterprise
Health & Safety,hsw_aw_nnaws,Number of accidents at work by NACE Rev. 1.1 activity and employment status
Health & Safety,hsw_aw_ws2,"Incidence rate of accidents at work by type of workstation, NACE Rev. 1.1 activity, sex, age and severity"
Health & Safety,hsw_hp_disnu,"Number of work-related health problems by diagnosis group, sex and number of complaints per victim"
Health & Safety,hsw_hp_nuse,Work-related health problems in by sex
Health & Safety,hsw_ij_edse,Relative standardised incidence rate of accidental injuries at work by educational attainment level and sex (mean rate for each Member State = 100)
Health & Safety,hsw_ij_isna,Relative incidence rate of accidental injuries at work by occupation and NACE Rev. 1.1 activity mean rate = 100)
Health & Safety,hsw_ij_nuse,Accidental injuries at work in by sex
Health & Safety,hsw_ij_svhos,"Relative incidence rate of accidental injuries at work by severity, working hours and sex mean rate = 100 for each severity)"
Health & Safety,hsw_ij_svnia,"Relative incidence rate of accidental injuries at work by severity, frequency of night work and age mean rate = 100 for each severity)"
Health & Safety,hsw_ij_svsha,"Relative incidence rate of accidental injuries at work by severity, frequency of shift work and age mean rate = 100 for each severity)"
Health & Safety,hsw_ind,Indicators on health and safety at work
Health & Safety,hsw_occ_cnr,Recognised cases of occupational cancers - experimental statistics
Health & Safety,hsw_occ_ina,index of occupational diseases – experimental statistics
Health & Safety,ilc_hch15,Children with unmet needs for medical examination or treatment by specific reason
Health & Safety,ilc_lk11,Self defined health status by age and income quantile - ECHP survey
Health & Safety,ilc_pw12$dv_2547,"Persons feeling left out from society by sex, age and level of disability (activity limitation)"
Health & Safety,ilc_pw14,Satisfaction with the job by risk of poverty threshold and level of disability (activity limitation)
Health & Safety,ilc_scp34$dv_2542,"Persons not reading books in the last 12 months by sex, age, level of disability (activity limitation) and reasons"
Health & Safety,med_rd7,Road accidents: persons killed
Health & Safety,prc_rem_idx,Joint Index
Health & Safety,rail_ac_dnggood,Accidents involving the transport of dangerous goods - annual data
Health & Safety,sdg_02_10,Obesity rate by body mass index (BMI)
Health & Safety,sdg_03_11,Healthy life years at birth by sex
Health & Safety,sdg_03_20,Share of people with good or very good perceived health by sex
Health & Safety,sdg_03_30,Smoking prevalence by sex
Health & Safety,sdg_03_41,"Standardised death rate due to tuberculosis, HIV and hepatitis by type of disease"
Health & Safety,sdg_03_42,Standardised preventable and treatable mortality
Health & Safety,sdg_03_60,Self-reported unmet need for medical examination and care by sex
Health & Safety,sdg_03_70,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
Health & Safety,sdg_05_10,Physical and sexual violence to women by age group data)
Health & Safety,sdg_08_60,"Fatal accidents at work per 100 000 workers, by sex"
Health & Safety,sdg_11_52,Premature deaths due to exposure to fine particulate matter (PM2.5)
Health & Safety,sdg_16_10,Standardised death rate due to homicide by sex
Health & Safety,sdg_16_20,"Population reporting occurrence of crime, violence or vandalism in their area by poverty status"
Health & Safety,sdg_16_70,Victims of trafficking in human beings by sex
Health & Safety,tepsr_sp320,Healthy life years at age 65 by sex
Health & Safety,tespm110,Self-reported unmet need for medical care by sex
Health & Safety,tespm120,Healthy life years at 65 - males
Health & Safety,tespm130,Healthy life years at 65 - females
Health & Safety,tgs00064,Available beds in hospitals by NUTS 2 regions
Health & Safety,tin00101,Individuals using the internet for seeking health-related information
Health & Safety,tps00027,Infant mortality rate
Health & Safety,tps00029,Deaths and crude death rate
Health & Safety,tps00044,Practising physicians
Health & Safety,tps00045,Practising dentists
Health & Safety,tps00046,Hospital beds
Health & Safety,tps00048,Discharges from hospitals
Health & Safety,tps00116,"Death due to cancer, by sex"
Health & Safety,tps00119,"Death due to other ischaemic heart diseases, by sex"
Health & Safety,tps00122,"Death due to suicide, by sex"
Health & Safety,tps00125,"Death due to accidents, by sex"
Health & Safety,tps00128,"Death due to pneumonia, by sex"
Health & Safety,tps00131,"Death due to chronic liver disease, by sex"
Health & Safety,tps00134,"Death due to diseases of the nervous system, by sex"
Health & Safety,tps00137,"Death due to diabetes mellitus, by sex"
Health & Safety,tps00140,"Death due to alcoholic abuse, by sex"
Health & Safety,tps00143,"Death due to AIDS (HIV-disease), by sex"
Health & Safety,tps00146,"Death due to homicide, assault, by sex"
Health & Safety,tps00149,"Death due to drugs dependence, by sex"
Health & Safety,tps00150,Healthy life years at birth by sex
Health & Safety,tps00152,"Causes of death, by sex"
Health & Safety,tps00165,"Death due to transport accidents, by sex"
Health & Safety,tps00167,Licensed physicians
Health & Safety,tps00202,Suicide death rate by age group
Health & Safety,tps00205,Life expectancy at birth by sex
Health & Safety,tps00208,Life expectancy at birth by sex
Health & Safety,tran_sf_railsu,Suicides involving railways
Health & Safety,tran_sf_roadro,Persons killed in road accidents by type of road
Learning & Education,edat_lfse_14$dv_1864,Early leavers from education and training by sex and labour status
Learning & Education,edat_lfse_14$dv_356,Early leavers from education and training by sex and labour status
Learning & Education,edat_lfso_00t4,Parents educational attainment level
Learning & Education,educ_fiaid,Financial aid to students
Learning & Education,educ_fiexpc,Expenditure on education in constant prices
Learning & Education,educ_ipart$dv_437,Participation/ enrolment in education (ISCED 0-4)
Learning & Education,educ_iste,Pupil/ student - teacher ratio and average class size (ISCED 1-3)
Learning & Education,educ_outc_pisa,"Low achieving 15-year-olds in reading, mathematics or science by sex"
Learning & Education,educ_uoe_enra05$dv_441,Pupils and students in education by age groups - as % of corresponding age population
Learning & Education,educ_uoe_enra06,Pupils and students in education aged 30 and over - per 1000 of corresponding age population
Learning & Education,educ_uoe_enra07,Expected school years of pupils and students by education level
Learning & Education,educ_uoe_enra08,Students in post-compulsory education - as % of the total population of post-compulsory school age
Learning & Education,educ_uoe_enra10,"Pupils from age 4 to the starting age of compulsory education at primary level, by sex - as % of the population of the corresponding age group"
Learning & Education,educ_uoe_enra17,Pupils from age 4 to the starting age of compulsory education at primary level by NUTS2 regions - % of the population of the corresponding age
Learning & Education,educ_uoe_enra18,Pupils from age 5 to the starting age of compulsory education at primary level by sex - % of the population of the corresponding age
Learning & Education,educ_uoe_enra19,"Pupils aged 4 years old, by sex - as % of the population of the corresponding age group"
