"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                            Population by family status and NUTS 3 region"	"cens_11fs_r3"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	1409421
"                        Population by employment characteristics"	"cens_11rec"	"folder"	" "	" "	" "	" "	
"                            Population by current activity status, educational attainment level and NUTS 2 region"	"cens_11aed_r2"	"dataset"	"01.04.2019"	"10.01.2024"	"2011"	"2011"	2425928
"                            Population by current activity status, occupation and NUTS 2 region"	"cens_11ao_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	3140674
"                            Population by current activity status, NACE Rev. 2 activity and NUTS 2 region"	"cens_11an_r2"	"dataset"	"23.07.2015"	"31.01.2024"	"2011"	"2011"	3110101
"                            Population by status in employment, occupation and NUTS 2 region"	"cens_11empo_r2"	"dataset"	"01.04.2019"	"10.01.2024"	"2011"	"2011"	3636204
"                            Population by status in employment, NACE Rev. 2 activity and NUTS 2 region"	"cens_11empn_r2"	"dataset"	"22.07.2015"	"31.01.2024"	"2011"	"2011"	3694015
"                        Population by migration characteristics"	"cens_11rmc"	"folder"	" "	" "	" "	" "	
"                            Population by country of citizenship at national level"	"cens_11ctz_n"	"dataset"	"26.08.2015"	"25.04.2024"	"2011"	"2011"	584812
"                            Population by group of citizenship, occupation and NUTS 2 region"	"cens_11ctzo_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	749466
"                            Population by country of birth at national level"	"cens_11cob_n"	"dataset"	"26.08.2015"	"25.04.2024"	"2011"	"2011"	577992
"                            Population by group of country of birth, educational attainment level and NUTS 2 region"	"cens_11cobe_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	703304
"                            Population by group of country of birth, current activity status and NUTS 2 region"	"cens_11coba_r2"	"dataset"	"26.08.2015"	"10.01.2024"	"2011"	"2011"	423244
